regio2,districtPopTrend,districtPop
Aachen,0.35,555465
Aachen_Kreis,0.35,555465
Ahrweiler_Kreis,0.18,129727
Aichach_Friedberg_Kreis,0.75,133596
Alb_Donau_Kreis,0.83,196047
Altenburger_Land_Kreis,-0.58,90118
Altenkirchen_Westerwald_Kreis,0.27,128705
Altmarkkreis_Salzwedel,-0.51,83765
Altötting_Kreis,0.69,111210
Alzey_Worms_Kreis,0.63,129244
Amberg,0.25,41970
Amberg_Sulzbach_Kreis,0.15,103109
Ammerland_Kreis,0.85,124071
Anhalt_Bitterfeld_Kreis,-0.65,159854
Ansbach,0.65,41847
Ansbach_Kreis,0.59,183949
Aschaffenburg,0.73,70527
Aschaffenburg_Kreis,0.27,174208
Augsburg,0.95,295135
Augsburg_Kreis,0.91,251534
Aurich_Kreis,0.29,189848
Bad_Dürkheim_Kreis,0.29,132660
Bad_Kissingen_Kreis,0.18,103218
Bad_Kreuznach_Kreis,0.42,158080
Bad_Tölz_Wolfratshausen_Kreis,0.66,127227
Baden_Baden,0.82,55123
Bamberg,1.31,77592
Bamberg_Kreis,0.36,147086
Barnim_Kreis,1.11,182760
Bautzen_Kreis,-0.39,300880
Bayreuth,0.45,74657
Bayreuth_Kreis,0.01,103656
Berchtesgadener_Land_Kreis,0.57,105722
Bergstraße_Kreis,0.54,269694
Berlin,1.04,3644826
Bernkastel_Wittlich_Kreis,0.44,112262
Biberach_Kreis,1.01,199742
Bielefeld,0.32,333786
Birkenfeld_Kreis,0.15,80720
Bitburg_Prüm_Kreis,0.84,98561
Böblingen_Kreis,0.82,391640
Bochum,0.12,364628
Bodenseekreis,0.79,216227
Bonn,0.87,327258
Börde_Kreis,-0.1,171734
Borken_Kreis,0.44,370676
Bottrop,0.2,117383
Brandenburg_an_der_Havel,0.4,72124
Braunschweig,0.21,248292
Breisgau_Hochschwarzwald_Kreis,0.85,262795
Bremen,0.42,569352
Bremerhaven,0.67,113634
Burgenlandkreis,-0.47,180190
Calw_Kreis,0.81,158397
Celle_Kreis,0.4,178936
Cham_Kreis,0.4,127882
Chemnitz,0.3,247237
Cloppenburg_Kreis,1.16,169348
Coburg,0.23,41249
Coburg_Kreis,0.05,86906
Cochem_Zell_Kreis,-0.09,61587
Coesfeld_Kreis,0.48,219929
Cottbus,-0.01,100219
Cuxhaven_Kreis,0.27,198213
Dachau_Kreis,0.93,153884
Dahme_Spreewald_Kreis,1.2,169067
Darmstadt,0.9,159207
Darmstadt_Dieburg_Kreis,0.58,297399
Deggendorf_Kreis,0.63,119326
Delmenhorst,0.64,77607
Dessau_Roßlau,-0.54,81237
Diepholz_Kreis,0.66,216886
Dillingen_an_der_Donau_Kreis,0.69,96021
Dingolfing_Landau_Kreis,0.9,96217
Dithmarschen_Kreis,0.22,133210
Donau_Ries_Kreis,0.65,133496
Donnersbergkreis,0.15,75101
Dortmund,0.33,587010
Dresden,0.67,554649
Duisburg,0.35,498590
Düren_Kreis,0.53,263722
Düsseldorf,0.55,619294
